CID,f_inhibition_at_50_uM,activity,MaxAbsEStateIndex
LON-WEI-4d77710c-1,3.39723098278046,0,12.39811610292265
LON-WEI-4d77710c-2,95.8849830627441,1,14.078682584993233
LON-WEI-4d77710c-3,-0.25133109092712397,0,12.498122008062484
LON-WEI-4d77710c-4,9.66134190559387,0,12.697955904523885
LON-WEI-4d77710c-5,10.777422904968299,0,12.394200286596119
LON-WEI-4d77710c-6,11.938231945037801,0,12.30839663643235
LON-WEI-4d77710c-8,98.61128616333008,1,12.802152392994746
LON-WEI-4d77710c-9,7.974440574646,0,12.607956117338786
LON-WEI-4d77710c-10,99.8317337036133,1,12.649889845795364
LON-WEI-4d77710c-11,97.81043243408199,1,12.75583007894516
LON-WEI-4d77710c-12,4.90095829963684,0,12.341837084772694
LON-WEI-4d77710c-13,6.75186371803284,0,12.619724474309162
LON-WEI-4d77710c-18,17.8977632522583,0,12.447983827790376
LON-WEI-4d77710c-19,99.39509963989259,1,12.378549225245653
LON-WEI-4d77710c-20,6.690095543861389,0,12.74413898125114
LON-WEI-4d77710c-21,-1.15867936611176,0,12.66225363799994
LON-WEI-4d77710c-22,6.62619781494141,0,12.619333527807104
LON-WEI-4d77710c-23,0.16826415061950695,0,12.748235067246439
LON-WEI-4d77710c-24,97.8849830627441,1,12.714158084530109
LON-WEI-4d77710c-26,2.80937159061432,0,12.551365583270345
LON-WEI-4d77710c-27,2.29818958044052,0,12.691644346431055
LON-WEI-4d77710c-28,0.630457937717438,0,12.752478211534676
LON-WEI-4d77710c-29,2.55378055945039,0,12.718882723148475
LON-WEI-4d77710c-30,12.185303211212199,0,12.718668119012325
LON-WEI-4d77710c-32,98.86901092529301,1,8.81734536257763
LON-WEI-4d77710c-33,5.22683703899384,0,13.176702963592847
LON-WEI-4d77710c-36,5.81256651878357,0,12.488006897203324
LON-WEI-4d77710c-37,-1.2119275778532,0,12.5513953029987
LON-WEI-4d77710c-39,67.9488792419434,1,12.291074184303351
LON-WEI-4d77710c-40,0.9307774305343628,0,12.677432537003488
LON-WEI-4d77710c-41,37.37380027771,0,13.163189720332575
LON-WEI-4d77710c-42,12.202342510223401,0,12.842985796170321
LON-WEI-4d77710c-43,9.0308837890625,0,12.75146504107498
LON-WEI-4d77710c-44,90.3003196716309,1,12.605314465126426
LON-WEI-4d77710c-48,2.49840253591537,0,12.756078964344967
LON-WEI-4d77710c-49,-6.89882826805115,0,12.103338050903506
LON-WEI-4d77710c-51,94.5239601135254,1,12.688990258382635
LON-WEI-4d77710c-53,-3.7806176692247413,0,14.049515150627267
LON-WEI-4d77710c-55,11.171458721160901,0,12.718212586078993
LON-WEI-4d77710c-56,-0.958466410636902,0,12.695555001554801
LON-WEI-4d77710c-58,17.5676245689392,0,12.760719870679463
LON-WEI-4d77710c-61,94.37699508666992,1,10.999678646427196
LON-WEI-4d77710c-62,30.864749908447298,0,9.210648148148149
LON-WEI-4d77710c-63,3.15654939413071,0,12.145920099521293
LON-WEI-4d77710c-64,81.2673072814941,1,14.06138431614723
LON-WEI-4d77710c-65,69.8785934448242,1,10.646602478616472
LON-WEI-4d77710c-66,77.0372695922852,1,12.733794879062733
LON-WEI-4d77710c-67,71.2034072875977,1,10.587838306280872
LON-WEI-4d77710c-69,76.34930419921879,1,12.78558349252662
LON-WEI-4d77710c-70,68.952075958252,1,12.19119520030234
