Program,Ligand,Initial Pose,Pose,Exhaustiveness,Energy Range,Energy,RMSD,Execution
Vina,A,crystal,7,24,3,-6.5,4.783,3
Vina,A,crystal,8,24,3,-6.5,6.448,3
Vina,A,crystal,9,24,3,-6.4,6.112,3
Vina,A,crystal,10,24,3,-6.4,5.448,3
Vina,A,crystal,11,24,3,-6.4,6.122,3
Vina,A,crystal,12,24,3,-6.4,3.962,3
Vina,A,crystal,13,24,3,-6.3,5.741,3
Vina,A,crystal,14,24,3,-6.3,4.826,3
Vina,A,crystal,15,24,3,-6.3,4.934,3
Vina,A,crystal,16,24,3,-6.3,4.113,3
Vina,A,crystal,17,24,3,-6.3,5.491,3
Vina,A,crystal,18,24,3,-6.3,5.209,3
Vina,A,crystal,19,24,3,-6.2,5.508,3
Vina,A,crystal,20,24,3,-6.2,4.622,3
Vina,A,crystal,1,32,1,-6.9,6.696,1
Vina,A,crystal,2,32,1,-6.6,5.279,1
Vina,A,crystal,3,32,1,-6.5,5.403,1
Vina,A,crystal,4,32,1,-6.5,5.803,1
Vina,A,crystal,5,32,1,-6.4,5.446,1
Vina,A,crystal,6,32,1,-6.4,2.116,1
Vina,A,crystal,7,32,1,-6.3,5.638,1
Vina,A,crystal,8,32,1,-6.2,4.815,1
Vina,A,crystal,9,32,1,-6.2,6.552,1
Vina,A,crystal,10,32,1,-6.1,4.484,1
Vina,A,crystal,11,32,1,-6.1,6.316,1
Vina,A,crystal,12,32,1,-6.0,4.267,1
Vina,A,crystal,13,32,1,-6.0,4.876,1
Vina,A,crystal,14,32,1,-6.0,5.010,1
Vina,A,crystal,15,32,1,-6.0,6.725,1
Vina,A,crystal,16,32,1,-6.0,6.095,1
Vina,A,crystal,17,32,1,-6.0,6.303,1
Vina,A,crystal,18,32,1,-6.0,5.601,1
Vina,A,crystal,19,32,1,-5.9,5.676,1
Vina,A,crystal,20,32,1,-5.9,5.293,1
Vina,A,crystal,1,32,1,-7.6,2.261,2
Vina,A,crystal,2,32,1,-7.6,5.225,2
Vina,A,crystal,3,32,1,-7.4,5.984,2
Vina,A,crystal,4,32,1,-7.4,5.210,2
Vina,A,crystal,5,32,1,-7.3,5.182,2
Vina,A,crystal,6,32,1,-7.3,4.690,2
Vina,A,crystal,7,32,1,-7.2,5.335,2
Vina,A,crystal,8,32,1,-7.2,5.021,2
Vina,A,crystal,9,32,1,-7.1,3.775,2
Vina,A,crystal,10,32,1,-7.1,4.768,2
Vina,A,crystal,11,32,1,-7.1,5.927,2
